Banner,TargetsType,ExpectedDate
Jo/Dora,Main2,2021-12-01
Valdor/Liz,Main2,2021-12-10
Polka/Zenon,Main2,2021-12-10
WinterMystics,Main1Bonus1,2021-12-20
NYMinstrel,Main1Bonus1,2021-12-31
Schirach,Main1,2022-01-10
LNYFancyLass,Main2,2022-02-04
Byunei3.0,Main1,2022-03-01
Kurt,Main1,2022-03-15
Kat/Hilda,Main2,2022-03-30
OmegaT260,Main1Bonus1,2022-04-05
Matriarch3.0,Main1,2022-04-15
Macha,Main2,2022-05-01
ZEKE,Main1,2022-05-01
Mariah,Main2,2022-06-01
Jo3,Main2,2022-06-01
PolkaFast,Main2,2022-01-11
GLEX.Something,Main2,2022-06-25
Ruby,Main2,2022-06-30
Windie,Main2,2022-07-01
RobinLynWoods,Main3,2022-07-01
Dune,Main3,2022-08-01
Kirin,Main1Bonus1,2022-09-01
Fuman2.0,Main2,2022-09-01
HalloweenSilver,Main1,2022-10-01
